City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
76,kapaa,22.08,-159.32,73.4,83,40,5.82,US,1579187190
77,ushuaia,-54.8,-68.3,51.8,75,75,17.22,AR,1579187042
78,busselton,-33.65,115.33,72.0,43,2,14.43,AU,1579187197
79,fortuna,40.6,-124.16,42.01,86,90,5.21,US,1579187235
80,veraval,20.9,70.37,59.43,39,0,11.81,IN,1579187757
81,severo-kurilsk,50.68,156.12,15.8,91,92,24.47,RU,1579187190
82,ambilobe,-13.2,49.05,80.33,86,100,4.83,MG,1579187758
83,tigil,57.8,158.67,8.92,90,100,6.24,RU,1579187758
84,nizwa,22.93,57.53,57.42,45,0,3.09,OM,1579187758
85,faya,18.39,42.45,68.0,45,0,11.41,SA,1579187406
86,fort nelson,58.81,-122.7,-36.4,65,90,0.92,CA,1579187262
87,sao filipe,14.9,-24.5,74.3,58,6,19.01,CV,1579187196
88,jamestown,42.1,-79.24,34.0,80,90,19.46,US,1579186926
89,isangel,-19.55,169.27,77.0,84,31,17.52,VU,1579187564
90,rikitea,-23.12,-134.97,77.72,78,100,18.52,PF,1579187197
91,narsaq,60.92,-46.05,21.2,79,90,3.33,GL,1579187514
92,ushuaia,-54.8,-68.3,51.8,75,75,17.22,AR,1579187042
93,san francisco,37.77,-122.42,52.0,93,90,31.09,US,1579187417
94,ilhabela,-23.78,-45.36,83.16,77,100,5.06,BR,1579187706
95,kruisfontein,-34.0,24.73,85.48,51,0,9.62,ZA,1579187370
96,mataura,-46.19,168.86,55.99,90,4,1.01,NZ,1579187217
97,kodiak,57.79,-152.41,24.8,79,90,11.41,US,1579187210
98,portland,45.52,-122.68,39.99,93,90,9.17,US,1579187734
99,longyearbyen,78.22,15.64,1.4,64,0,6.93,SJ,1579186984
100,nanortalik,60.14,-45.24,26.92,75,100,8.72,GL,1579187220
101,hobart,-42.88,147.33,53.6,66,90,9.17,AU,1579187199
102,nelson bay,-32.72,152.15,71.01,88,100,5.82,AU,1579187761
103,hermanus,-34.42,19.23,89.01,53,0,8.99,ZA,1579187208
104,ushuaia,-54.8,-68.3,51.8,75,75,17.22,AR,1579187042
105,kijang,35.24,129.21,35.6,43,100,4.7,KR,1579187762
106,port elizabeth,-33.92,25.57,80.6,69,0,12.75,ZA,1579187225
107,santa rosa,14.31,121.11,80.6,69,40,4.7,PH,1579187396
108,sechelt,49.47,-123.77,42.01,95,75,4.7,CA,1579187762
109,dakar,14.69,-17.44,91.4,7,52,12.75,SN,1579187763
110,toul,48.67,5.92,59.0,62,0,9.17,FR,1579187763
111,montepuez,-13.13,39.0,80.6,85,100,4.54,MZ,1579187763
112,busselton,-33.65,115.33,72.0,43,2,14.43,AU,1579187197
113,ushuaia,-54.8,-68.3,51.8,75,75,17.22,AR,1579187042
114,albany,42.6,-73.97,42.01,73,90,16.11,US,1579187103
115,champasak,14.75,106.0,70.65,46,0,1.01,LA,1579187764
116,ribeira grande,38.52,-28.7,59.0,51,40,9.17,PT,1579187223
117,kununurra,-15.77,128.73,86.0,74,40,8.05,AU,1579187386
118,barrow,71.29,-156.79,6.8,77,90,8.05,US,1579187219
119,hermanus,-34.42,19.23,89.01,53,0,8.99,ZA,1579187208
120,rikitea,-23.12,-134.97,77.72,78,100,18.52,PF,1579187197
121,hobart,-42.88,147.33,53.6,66,90,9.17,AU,1579187199
122,cape town,-33.93,18.42,89.01,65,20,27.51,ZA,1579187122
123,klaksvik,62.23,-6.59,41.0,93,100,6.93,FO,1579187261
124,kampot,10.62,104.18,77.0,94,51,2.24,KH,1579187766
125,bilibino,68.05,166.44,-10.08,99,100,2.8,RU,1579187403
126,raudeberg,61.99,5.14,44.6,81,75,24.16,NO,1579187767
127,visby,57.64,18.3,45.0,75,75,18.34,SE,1579187767
128,ushuaia,-54.8,-68.3,51.8,75,75,17.22,AR,1579187042
129,awbari,26.59,12.78,59.49,47,0,12.01,LY,1579187767
130,diamantino,-14.41,-56.45,93.96,53,26,1.54,BR,1579187767
131,te anau,-45.42,167.72,50.86,76,16,3.36,NZ,1579187212
132,severo-kurilsk,50.68,156.12,15.8,91,92,24.47,RU,1579187190
133,lata,40.16,-8.33,63.0,67,20,25.28,PT,1579187768
134,yellowknife,62.46,-114.35,-38.0,65,20,2.71,CA,1579187152
135,ushuaia,-54.8,-68.3,51.8,75,75,17.22,AR,1579187042
136,east london,-33.02,27.91,82.4,74,0,18.34,ZA,1579187198
137,kavieng,-2.57,150.8,84.42,73,100,20.58,PG,1579187262
138,half moon bay,37.46,-122.43,52.0,93,90,31.09,US,1579187378
139,khatanga,71.97,102.5,-14.19,96,78,8.14,RU,1579187227
140,punta arenas,-53.15,-70.92,53.6,62,75,12.75,CL,1579186994
141,grand-lahou,5.14,-5.02,81.7,78,41,12.12,CI,1579187770
142,georgetown,5.41,100.34,84.2,74,20,1.12,MY,1579187199
143,bunia,1.57,30.25,85.1,41,40,2.86,CD,1579187770
